episode_id,package_id,source_family,paper_split,initial_state_grounding,initial_state_visibility,source_documents_visibility,supplier_directory_grounding,supplier_directory_visibility,supplier_internal_profile_visibility,quotes_messages_grounding,future_event_visibility,oracle_visibility,evaluation_visibility,evaluator_ground_truth,synthetic_requirement_events,primary_failure_mechanisms
electrical-bongabon-generator-001,ph-bongabon-wd-13076574,PhilGEPS,development_calibration,real_public,visible_at_reset,not_runtime_input,synthetic,hidden_until_identify_suppliers,never_exposed_directly,synthetic,hidden_until_trigger,never_exposed,post_run_only,real_initial_state+controlled_scenario_oracle,,supplier_non_response;quote_received;quote_revision;lead_time_conflict;compliance_conflict
electrical-national-museum-lighting-002,ph-national-museum-11489658,PhilGEPS,development_calibration,real_public,visible_at_reset,not_runtime_input,synthetic,hidden_until_identify_suppliers,never_exposed_directly,synthetic,hidden_until_trigger,never_exposed,post_run_only,real_initial_state+controlled_scenario_oracle,,multi_lot;quote_received;quote_revision;lead_time_conflict;budget_conflict
electrical-neust-cable-003,ph-neust-11352026,PhilGEPS,development_calibration,real_public,visible_at_reset,not_runtime_input,synthetic,hidden_until_identify_suppliers,never_exposed_directly,synthetic,hidden_until_trigger,never_exposed,post_run_only,real_initial_state+controlled_scenario_oracle,quantity_change,requirement_change;quantity_change;substitution_proposed;supplier_non_response;quote_revision;budget_conflict
electrical-dla-breaker-004,us-dla-nsn5925014302318-2026-07-28,SAM.gov,development_calibration,real_public,visible_at_reset,not_runtime_input,synthetic,hidden_until_identify_suppliers,never_exposed_directly,synthetic,hidden_until_trigger,never_exposed,post_run_only,real_initial_state+controlled_scenario_oracle,,supplier_eligibility;quote_received;lead_time_conflict;supplier_withdrawal;quote_revision
electrical-barrie-transformer-005,ca-barrie-fin2026-162q,Barrie Bids & Tenders,development_calibration,real_public,visible_at_reset,not_runtime_input,synthetic,hidden_until_identify_suppliers,never_exposed_directly,synthetic,hidden_until_trigger,never_exposed,post_run_only,real_initial_state+controlled_scenario_oracle,buyer_clarification,requirement_gap;supplier_question;quote_received;quote_revision;compliance_conflict
electrical-bfar-generator-006,ph-bfar5bac-2024-007,PhilGEPS,development_calibration,real_public,visible_at_reset,not_runtime_input,synthetic,hidden_until_identify_suppliers,never_exposed_directly,synthetic,hidden_until_trigger,never_exposed,post_run_only,real_initial_state+controlled_scenario_oracle,,supplier_non_response;supplier_question;quote_received;quote_revision;lead_time_conflict;compliance_conflict
electrical-negros-wire-007,ph-negros-oriental-12937154,PhilGEPS,development_calibration,real_public,visible_at_reset,not_runtime_input,synthetic,hidden_until_identify_suppliers,never_exposed_directly,synthetic,hidden_until_trigger,never_exposed,post_run_only,real_initial_state+controlled_scenario_oracle,buyer_clarification,requirement_gap;quote_received;quote_revision;lead_time_conflict;budget_conflict;compliance_conflict
electrical-burauen-generator-008,ph-burauen-13076346,PhilGEPS,development_calibration,real_public,visible_at_reset,not_runtime_input,synthetic,hidden_until_identify_suppliers,never_exposed_directly,synthetic,hidden_until_trigger,never_exposed,post_run_only,real_initial_state+controlled_scenario_oracle,,quote_received;quote_revision;lead_time_conflict;supplier_withdrawal;budget_conflict
electrical-highpoint-transformer-009,us-high-point-8017-112221,High Point municipal PDF,development_calibration,real_public,visible_at_reset,not_runtime_input,synthetic,hidden_until_identify_suppliers,never_exposed_directly,synthetic,hidden_until_trigger,never_exposed,post_run_only,real_initial_state+controlled_scenario_oracle,buyer_clarification,requirement_gap;quote_received;quote_revision;lead_time_conflict;compliance_conflict
electrical-painesville-switchgear-010,us-painesville-switchgear-2026,Painesville municipal portal,development_calibration,real_public,visible_at_reset,not_runtime_input,synthetic,hidden_until_identify_suppliers,never_exposed_directly,synthetic,hidden_until_trigger,never_exposed,post_run_only,real_initial_state+controlled_scenario_oracle,buyer_clarification,requirement_gap;multi_lot;quote_received;quote_revision;lead_time_conflict
electrical-sagada-generator-011,ph-sagada-12909220,PhilGEPS,development_calibration,real_public,visible_at_reset,not_runtime_input,synthetic,hidden_until_identify_suppliers,never_exposed_directly,synthetic,hidden_until_trigger,never_exposed,post_run_only,real_initial_state+controlled_scenario_oracle,requirement_change,supplier_non_response;requirement_change;quote_received;quote_revision;lead_time_conflict;budget_conflict
